Appliance,F1,NDE,EAC,MAE
Dell U2711,0.9999954700469971,0.00010552829176319306,0.9968826079693339,0.43085694772444594
Epson EB-65950,0.0,0.8896237909797391,0.9138584016252541,0.9877024936535075
Lenovo T420,0.01518469862639904,0.9244600853033854,0.60797674336766,3.8663917928974123
Lenovo X230 i7,0.18829235434532166,0.8541499432516786,0.6242470288533021,1.17230020083475
MacBook Pro 15 Mid-2014,0.7452379465103149,0.5316255352771413,0.6265134994512804,5.455663853995029
